source,target,bitwidth,n_iter,t_error_p2pl
source_2025-12-12_13.00.34/17,target_bolt-5_id-10196.pcd,11,50,11.333290607822557
source_2025-12-12_13.00.34/17,target_bolt-5_id-10196.pcd,12,2,13.362489904384352
source_2025-12-12_13.00.34/17,target_bolt-5_id-10196.pcd,12,5,11.227750621705685
source_2025-12-12_13.00.34/17,target_bolt-5_id-10196.pcd,12,10,11.183293050978982
source_2025-12-12_13.00.34/17,target_bolt-5_id-10196.pcd,12,20,11.48986480915664
source_2025-12-12_13.00.34/17,target_bolt-5_id-10196.pcd,12,50,11.451483075288923
source_2025-12-12_13.00.34/17,target_bolt-5_id-10196.pcd,13,2,12.464122486102427
source_2025-12-12_13.00.34/17,target_bolt-5_id-10196.pcd,13,5,10.953408020961373
source_2025-12-12_13.00.34/17,target_bolt-5_id-10196.pcd,13,10,11.121815161449499
source_2025-12-12_13.00.34/17,target_bolt-5_id-10196.pcd,13,20,11.388357435811303
source_2025-12-12_13.00.34/17,target_bolt-5_id-10196.pcd,13,50,11.26042500203966
source_2025-12-12_13.00.34/17,target_bolt-5_id-10196.pcd,14,2,14.081958618687668
source_2025-12-12_13.00.34/17,target_bolt-5_id-10196.pcd,14,5,11.281495606322979
source_2025-12-12_13.00.34/17,target_bolt-5_id-10196.pcd,14,10,11.180405423183382
source_2025-12-12_13.00.34/17,target_bolt-5_id-10196.pcd,14,20,11.39321009693414
source_2025-12-12_13.00.34/17,target_bolt-5_id-10196.pcd,14,50,11.463738435174488
source_2025-12-12_13.00.34/17,target_bolt-5_id-10196.pcd,15,2,12.829943229197292
source_2025-12-12_13.00.34/17,target_bolt-5_id-10196.pcd,15,5,11.130492734424756
source_2025-12-12_13.00.34/17,target_bolt-5_id-10196.pcd,15,10,11.151444523242846
source_2025-12-12_13.00.34/17,target_bolt-5_id-10196.pcd,15,20,11.392882440528707
source_2025-12-12_13.00.34/17,target_bolt-5_id-10196.pcd,15,50,11.443400188687166
source_2025-12-12_13.00.34/17,target_bolt-5_id-10196.pcd,16,2,12.859061711462418
source_2025-12-12_13.00.34/17,target_bolt-5_id-10196.pcd,16,5,11.133999780669939
source_2025-12-12_13.00.34/17,target_bolt-5_id-10196.pcd,16,10,11.160760233627078
source_2025-12-12_13.00.34/17,target_bolt-5_id-10196.pcd,16,20,11.392058715271093
source_2025-12-12_13.00.34/17,target_bolt-5_id-10196.pcd,16,50,11.40617345287222
source_2025-12-12_13.00.34/17,target_bolt-3_id-9998.pcd,10,2,16.740758344777756
source_2025-12-12_13.00.34/17,target_bolt-3_id-9998.pcd,10,5,5.893403430770594
source_2025-12-12_13.00.34/17,target_bolt-3_id-9998.pcd,10,10,4.1517101804991166
source_2025-12-12_13.00.34/17,target_bolt-3_id-9998.pcd,10,20,3.8031842543013896
source_2025-12-12_13.00.34/17,target_bolt-3_id-9998.pcd,10,50,4.1763441688476295
source_2025-12-12_13.00.34/17,target_bolt-3_id-9998.pcd,11,2,10.405133555197558
source_2025-12-12_13.00.34/17,target_bolt-3_id-9998.pcd,11,5,5.054945906311154
source_2025-12-12_13.00.34/17,target_bolt-3_id-9998.pcd,11,10,3.585937499254465
source_2025-12-12_13.00.34/17,target_bolt-3_id-9998.pcd,11,20,3.311355323103135
source_2025-12-12_13.00.34/17,target_bolt-3_id-9998.pcd,11,50,3.5413098280637563
source_2025-12-12_13.00.34/17,target_bolt-3_id-9998.pcd,12,2,13.33584408371279
source_2025-12-12_13.00.34/17,target_bolt-3_id-9998.pcd,12,5,5.68873645076214
source_2025-12-12_13.00.34/17,target_bolt-3_id-9998.pcd,12,10,3.6506330227826314
source_2025-12-12_13.00.34/17,target_bolt-3_id-9998.pcd,12,20,3.298394021567331
source_2025-12-12_13.00.34/17,target_bolt-3_id-9998.pcd,12,50,3.2778812150017367
source_2025-12-12_13.00.34/17,target_bolt-3_id-9998.pcd,13,2,10.124272975322356
source_2025-12-12_13.00.34/17,target_bolt-3_id-9998.pcd,13,5,4.931183840898433
source_2025-12-12_13.00.34/17,target_bolt-3_id-9998.pcd,13,10,3.440287500855431
source_2025-12-12_13.00.34/17,target_bolt-3_id-9998.pcd,13,20,3.283825379513738
source_2025-12-12_13.00.34/17,target_bolt-3_id-9998.pcd,13,50,3.2200713368991223
source_2025-12-12_13.00.34/17,target_bolt-3_id-9998.pcd,14,2,17.894528954344636
source_2025-12-12_13.00.34/17,target_bolt-3_id-9998.pcd,14,5,6.047051094928609
source_2025-12-12_13.00.34/17,target_bolt-3_id-9998.pcd,14,10,3.588329293496612
source_2025-12-12_13.00.34/17,target_bolt-3_id-9998.pcd,14,20,3.288621931791939
source_2025-12-12_13.00.34/17,target_bolt-3_id-9998.pcd,14,50,3.2235704575249
source_2025-12-12_13.00.34/17,target_bolt-3_id-9998.pcd,15,2,8.95849832823229
source_2025-12-12_13.00.34/17,target_bolt-3_id-9998.pcd,15,5,5.054286455638156
source_2025-12-12_13.00.34/17,target_bolt-3_id-9998.pcd,15,10,3.4359881778349175
source_2025-12-12_13.00.34/17,target_bolt-3_id-9998.pcd,15,20,3.238408077450535
source_2025-12-12_13.00.34/17,target_bolt-3_id-9998.pcd,15,50,3.2485996066467386
source_2025-12-12_13.00.34/17,target_bolt-3_id-9998.pcd,16,2,7.684089455222587
source_2025-12-12_13.00.34/17,target_bolt-3_id-9998.pcd,16,5,4.849507319003479
source_2025-12-12_13.00.34/17,target_bolt-3_id-9998.pcd,16,10,3.4507146392568866
source_2025-12-12_13.00.34/17,target_bolt-3_id-9998.pcd,16,20,3.248820863178999
source_2025-12-12_13.00.34/17,target_bolt-3_id-9998.pcd,16,50,3.2424174814879825
source_2025-12-12_13.00.34/17,target_bolt-5_id-10135.pcd,10,2,11.51831277312458
source_2025-12-12_13.00.34/17,target_bolt-5_id-10135.pcd,10,5,9.723291690234038
source_2025-12-12_13.00.34/17,target_bolt-5_id-10135.pcd,10,10,10.03243687612794
source_2025-12-12_13.00.34/17,target_bolt-5_id-10135.pcd,10,20,11.38758352465923
source_2025-12-12_13.00.34/17,target_bolt-5_id-10135.pcd,10,50,13.111300836966654
source_2025-12-12_13.00.34/17,target_bolt-5_id-10135.pcd,11,2,11.936027825089454
source_2025-12-12_13.00.34/17,target_bolt-5_id-10135.pcd,11,5,9.722980921617395
source_2025-12-12_13.00.34/17,target_bolt-5_id-10135.pcd,11,10,9.952865599301855
source_2025-12-12_13.00.34/17,target_bolt-5_id-10135.pcd,11,20,10.591846978449045
source_2025-12-12_13.00.34/17,target_bolt-5_id-10135.pcd,11,50,11.479447199818066
source_2025-12-12_13.00.34/17,target_bolt-5_id-10135.pcd,12,2,11.568466284445062
source_2025-12-12_13.00.34/17,target_bolt-5_id-10135.pcd,12,5,9.817648451968152
source_2025-12-12_13.00.34/17,target_bolt-5_id-10135.pcd,12,10,9.995507459067897
source_2025-12-12_13.00.34/17,target_bolt-5_id-10135.pcd,12,20,10.193800288233406
source_2025-12-12_13.00.34/17,target_bolt-5_id-10135.pcd,12,50,10.65930006021156
source_2025-12-12_13.00.34/17,target_bolt-5_id-10135.pcd,13,2,11.68567681910913
source_2025-12-12_13.00.34/17,target_bolt-5_id-10135.pcd,13,5,9.700586812874704
source_2025-12-12_13.00.34/17,target_bolt-5_id-10135.pcd,13,10,9.987936360510341
source_2025-12-12_13.00.34/17,target_bolt-5_id-10135.pcd,13,20,10.206659407344041
source_2025-12-12_13.00.34/17,target_bolt-5_id-10135.pcd,13,50,10.396447658108114
source_2025-12-12_13.00.34/17,target_bolt-5_id-10135.pcd,14,2,11.577782568177032
source_2025-12-12_13.00.34/17,target_bolt-5_id-10135.pcd,14,5,9.653923652598197
source_2025-12-12_13.00.34/17,target_bolt-5_id-10135.pcd,14,10,9.976990036331276
source_2025-12-12_13.00.34/17,target_bolt-5_id-10135.pcd,14,20,10.19916817529707
source_2025-12-12_13.00.34/17,target_bolt-5_id-10135.pcd,14,50,10.237967947040682
source_2025-12-12_13.00.34/17,target_bolt-5_id-10135.pcd,15,2,11.877773396479999
source_2025-12-12_13.00.34/17,target_bolt-5_id-10135.pcd,15,5,9.700909180506923
source_2025-12-12_13.00.34/17,target_bolt-5_id-10135.pcd,15,10,9.971119992113548
source_2025-12-12_13.00.34/17,target_bolt-5_id-10135.pcd,15,20,10.224445500472783
source_2025-12-12_13.00.34/17,target_bolt-5_id-10135.pcd,15,50,10.223235352781733
source_2025-12-12_13.00.34/17,target_bolt-5_id-10135.pcd,16,2,11.78950346082993
source_2025-12-12_13.00.34/17,target_bolt-5_id-10135.pcd,16,5,9.713630718664128
source_2025-12-12_13.00.34/17,target_bolt-5_id-10135.pcd,16,10,9.947393264790167
source_2025-12-12_13.00.34/17,target_bolt-5_id-10135.pcd,16,20,10.20996556598776
source_2025-12-12_13.00.34/17,target_bolt-5_id-10135.pcd,16,50,10.2163188083514
source_2025-12-12_13.00.34/17,target_bolt-3_id-9989.pcd,10,2,4.156567546240809
source_2025-12-12_13.00.34/17,target_bolt-3_id-9989.pcd,10,5,2.523174451648584
source_2025-12-12_13.00.34/17,target_bolt-3_id-9989.pcd,10,10,2.3475525060919176
source_2025-12-12_13.00.34/17,target_bolt-3_id-9989.pcd,10,20,3.6713262099991506
source_2025-12-12_13.00.34/17,target_bolt-3_id-9989.pcd,10,50,3.810708103288744
source_2025-12-12_13.00.34/17,target_bolt-3_id-9989.pcd,11,2,5.711313489114258
source_2025-12-12_13.00.34/17,target_bolt-3_id-9989.pcd,11,5,3.867731044304583
source_2025-12-12_13.00.34/17,target_bolt-3_id-9989.pcd,11,10,2.3797821391351075
source_2025-12-12_13.00.34/17,target_bolt-3_id-9989.pcd,11,20,2.3928855736446897
source_2025-12-12_13.00.34/17,target_bolt-3_id-9989.pcd,11,50,2.4897654342798567
source_2025-12-12_13.00.34/17,target_bolt-3_id-9989.pcd,12,2,4.57558685124935
source_2025-12-12_13.00.34/17,target_bolt-3_id-9989.pcd,12,5,2.1305643436754687
source_2025-12-12_13.00.34/17,target_bolt-3_id-9989.pcd,12,10,1.9481673342648822
source_2025-12-12_13.00.34/17,target_bolt-3_id-9989.pcd,12,20,2.0595511100612667
source_2025-12-12_13.00.34/17,target_bolt-3_id-9989.pcd,12,50,2.161500683012817
source_2025-12-12_13.00.34/17,target_bolt-3_id-9989.pcd,13,2,13.385117518088784
source_2025-12-12_13.00.34/17,target_bolt-3_id-9989.pcd,13,5,3.95941382439733
